month,occupation_name,metric_name,value,unit,source_file
2015-01-01,情報処理・通信技術者,新規求人,17240,人,2012_2022
2015-02-01,情報処理・通信技術者,新規求人,16416,人,2012_2022
2015-03-01,情報処理・通信技術者,新規求人,15544,人,2012_2022
2015-04-01,情報処理・通信技術者,新規求人,17052,人,2012_2022
2015-05-01,情報処理・通信技術者,新規求人,14370,人,2012_2022
2015-06-01,情報処理・通信技術者,新規求人,16451,人,2012_2022
2015-07-01,情報処理・通信技術者,新規求人,17268,人,2012_2022
2015-08-01,情報処理・通信技術者,新規求人,15255,人,2012_2022
2015-09-01,情報処理・通信技術者,新規求人,15307,人,2012_2022
2015-10-01,情報処理・通信技術者,新規求人,17738,人,2012_2022
2015-11-01,情報処理・通信技術者,新規求人,15627,人,2012_2022
2015-12-01,情報処理・通信技術者,新規求人,14458,人,2012_2022
2016-01-01,情報処理・通信技術者,新規求人,17613,人,2012_2022
2016-02-01,情報処理・通信技術者,新規求人,17341,人,2012_2022
2016-03-01,情報処理・通信技術者,新規求人,16427,人,2012_2022
2016-04-01,情報処理・通信技術者,新規求人,17080,人,2012_2022
2016-05-01,情報処理・通信技術者,新規求人,16414,人,2012_2022
2016-06-01,情報処理・通信技術者,新規求人,16731,人,2012_2022
2016-07-01,情報処理・通信技術者,新規求人,17192,人,2012_2022
2016-08-01,情報処理・通信技術者,新規求人,16798,人,2012_2022
2016-09-01,情報処理・通信技術者,新規求人,16590,人,2012_2022
2016-10-01,情報処理・通信技術者,新規求人,17156,人,2012_2022
2016-11-01,情報処理・通信技術者,新規求人,16854,人,2012_2022
2016-12-01,情報処理・通信技術者,新規求人,15016,人,2012_2022
2017-01-01,情報処理・通信技術者,新規求人,17145,人,2012_2022
2017-02-01,情報処理・通信技術者,新規求人,17700,人,2012_2022
2017-03-01,情報処理・通信技術者,新規求人,15814,人,2012_2022
2017-04-01,情報処理・通信技術者,新規求人,17264,人,2012_2022
2017-05-01,情報処理・通信技術者,新規求人,16967,人,2012_2022
2017-06-01,情報処理・通信技術者,新規求人,17653,人,2012_2022
2017-07-01,情報処理・通信技術者,新規求人,16956,人,2012_2022
2017-08-01,情報処理・通信技術者,新規求人,17754,人,2012_2022
2017-09-01,情報処理・通信技術者,新規求人,16760,人,2012_2022
2017-10-01,情報処理・通信技術者,新規求人,18784,人,2012_2022
2017-11-01,情報処理・通信技術者,新規求人,17106,人,2012_2022
2017-12-01,情報処理・通信技術者,新規求人,15489,人,2012_2022
2018-01-01,情報処理・通信技術者,新規求人,17159,人,2012_2022
2018-02-01,情報処理・通信技術者,新規求人,16029,人,2012_2022
2018-03-01,情報処理・通信技術者,新規求人,15510,人,2012_2022
2018-04-01,情報処理・通信技術者,新規求人,17282,人,2012_2022
2018-05-01,情報処理・通信技術者,新規求人,16582,人,2012_2022
2018-06-01,情報処理・通信技術者,新規求人,16249,人,2012_2022
2018-07-01,情報処理・通信技術者,新規求人,17669,人,2012_2022
2018-08-01,情報処理・通信技術者,新規求人,17375,人,2012_2022
2018-09-01,情報処理・通信技術者,新規求人,15091,人,2012_2022
2018-10-01,情報処理・通信技術者,新規求人,19257,人,2012_2022
2018-11-01,情報処理・通信技術者,新規求人,17259,人,2012_2022
2018-12-01,情報処理・通信技術者,新規求人,15283,人,2012_2022
2019-01-01,情報処理・通信技術者,新規求人,18030,人,2012_2022
2019-02-01,情報処理・通信技術者,新規求人,17112,人,2012_2022
2019-03-01,情報処理・通信技術者,新規求人,15863,人,2012_2022
2019-04-01,情報処理・通信技術者,新規求人,17703,人,2012_2022
2019-05-01,情報処理・通信技術者,新規求人,16656,人,2012_2022
2019-06-01,情報処理・通信技術者,新規求人,16395,人,2012_2022
2019-07-01,情報処理・通信技術者,新規求人,18853,人,2012_2022
2019-08-01,情報処理・通信技術者,新規求人,16831,人,2012_2022
2019-09-01,情報処理・通信技術者,新規求人,15892,人,2012_2022
2019-10-01,情報処理・通信技術者,新規求人,18458,人,2012_2022
2019-11-01,情報処理・通信技術者,新規求人,16960,人,2012_2022
2019-12-01,情報処理・通信技術者,新規求人,15988,人,2012_2022
2020-01-01,情報処理・通信技術者,新規求人,15157,人,2012_2022
2020-02-01,情報処理・通信技術者,新規求人,15001,人,2012_2022
2020-03-01,情報処理・通信技術者,新規求人,15896,人,2012_2022
2020-04-01,情報処理・通信技術者,新規求人,12480,人,2012_2022
2020-05-01,情報処理・通信技術者,新規求人,12265,人,2012_2022
2020-06-01,情報処理・通信技術者,新規求人,14282,人,2012_2022
2020-07-01,情報処理・通信技術者,新規求人,13233,人,2012_2022
2020-08-01,情報処理・通信技術者,新規求人,12088,人,2012_2022
2020-09-01,情報処理・通信技術者,新規求人,12984,人,2012_2022
2020-10-01,情報処理・通信技術者,新規求人,13780,人,2012_2022
2020-11-01,情報処理・通信技術者,新規求人,12281,人,2012_2022
2020-12-01,情報処理・通信技術者,新規求人,12185,人,2012_2022
2021-01-01,情報処理・通信技術者,新規求人,12888,人,2012_2022
2021-02-01,情報処理・通信技術者,新規求人,12754,人,2012_2022
2021-03-01,情報処理・通信技術者,新規求人,14224,人,2012_2022
2021-04-01,情報処理・通信技術者,新規求人,13608,人,2012_2022
2021-05-01,情報処理・通信技術者,新規求人,12566,人,2012_2022
2021-06-01,情報処理・通信技術者,新規求人,14545,人,2012_2022
2021-07-01,情報処理・通信技術者,新規求人,14340,人,2012_2022
2021-08-01,情報処理・通信技術者,新規求人,13859,人,2012_2022
2021-09-01,情報処理・通信技術者,新規求人,15337,人,2012_2022
2021-10-01,情報処理・通信技術者,新規求人,15757,人,2012_2022
2021-11-01,情報処理・通信技術者,新規求人,15010,人,2012_2022
