"Time","システム エンジニア","インフラエンジニア","データエンジニア","AIエンジニア"
"2014-12-01",47,11,2,0
"2015-01-01",55,9,3,0
"2015-02-01",69,10,3,0
"2015-03-01",60,12,4,0
"2015-04-01",63,10,2,0
"2015-05-01",64,11,3,0
"2015-06-01",63,11,3,0
"2015-07-01",59,8,3,0
"2015-08-01",49,8,2,0
"2015-09-01",56,9,2,0
"2015-10-01",54,9,2,0
"2015-11-01",52,9,2,0
"2015-12-01",62,10,2,0
"2016-01-01",63,14,4,0
"2016-02-01",68,17,3,0
"2016-03-01",74,15,4,0
"2016-04-01",75,15,4,0
"2016-05-01",76,18,3,0
"2016-06-01",78,18,3,0
"2016-07-01",65,15,3,0
"2016-08-01",59,17,4,0
"2016-09-01",65,13,4,0
"2016-10-01",69,14,4,1
"2016-11-01",73,17,4,0
"2016-12-01",64,58,4,1
"2017-01-01",72,20,4,1
"2017-02-01",76,17,4,2
"2017-03-01",81,18,6,1
"2017-04-01",79,18,5,1
"2017-05-01",69,18,3,1
"2017-06-01",76,17,4,2
"2017-07-01",61,15,4,3
"2017-08-01",62,15,4,2
"2017-09-01",66,18,5,3
"2017-10-01",66,17,5,2
"2017-11-01",63,18,5,4
"2017-12-01",63,15,5,4
"2018-01-01",74,20,5,5
"2018-02-01",71,18,5,4
"2018-03-01",76,20,6,5
"2018-04-01",75,19,6,6
"2018-05-01",72,21,6,6
"2018-06-01",71,21,7,7
"2018-07-01",65,19,4,5
"2018-08-01",66,19,6,7
"2018-09-01",62,20,5,5
"2018-10-01",66,20,6,9
"2018-11-01",63,18,5,7
"2018-12-01",59,17,5,6
"2019-01-01",60,16,6,7
"2019-02-01",70,22,6,7
"2019-03-01",83,24,7,8
"2019-04-01",70,22,7,9
"2019-05-01",76,21,6,9
"2019-06-01",77,24,7,10
"2019-07-01",66,23,7,9
"2019-08-01",63,20,7,9
"2019-09-01",70,21,6,9
"2019-10-01",64,22,7,9
"2019-11-01",65,24,8,10
"2019-12-01",63,23,7,9
"2020-01-01",71,23,8,9
"2020-02-01",66,25,7,9
"2020-03-01",69,25,7,9
"2020-04-01",62,22,6,9
"2020-05-01",69,24,9,10
"2020-06-01",81,30,9,10
"2020-07-01",75,33,9,9
"2020-08-01",69,25,7,8
"2020-09-01",73,28,8,10
"2020-10-01",73,30,8,10
"2020-11-01",74,25,7,7
"2020-12-01",63,24,8,7
"2021-01-01",78,24,8,7
"2021-02-01",84,28,8,7
"2021-03-01",85,29,8,8
"2021-04-01",88,32,8,8
"2021-05-01",83,30,9,6
"2021-06-01",86,33,9,9
"2021-07-01",72,30,9,6
"2021-08-01",64,25,8,7
"2021-09-01",71,26,10,6
"2021-10-01",74,25,9,7
"2021-11-01",74,28,9,7
"2021-12-01",65,25,8,7
"2022-01-01",90,38,15,9
"2022-02-01",93,43,13,9
"2022-03-01",100,45,15,9
"2022-04-01",95,44,16,9
"2022-05-01",86,44,14,9
"2022-06-01",95,46,15,10
"2022-07-01",78,38,14,8
"2022-08-01",78,38,14,9
"2022-09-01",81,35,14,9
"2022-10-01",80,39,12,9
"2022-11-01",76,35,14,9
"2022-12-01",70,35,12,9
"2023-01-01",84,40,14,10
"2023-02-01",90,42,17,12
"2023-03-01",91,43,16,14
"2023-04-01",86,41,17,15
"2023-05-01",81,38,14,13
"2023-06-01",83,40,16,12
"2023-07-01",76,40,15,12
"2023-08-01",74,41,14,13
"2023-09-01",81,40,15,14
"2023-10-01",77,39,17,14
"2023-11-01",80,39,18,14
"2023-12-01",69,36,15,13
"2024-01-01",80,39,18,15
"2024-02-01",86,45,20,17
"2024-03-01",86,44,20,15
"2024-04-01",89,48,22,21
"2024-05-01",82,45,19,20
"2024-06-01",86,45,19,22
"2024-07-01",80,40,17,19
"2024-08-01",64,31,16,15
"2024-09-01",77,36,18,15
"2024-10-01",78,42,20,21
"2024-11-01",72,38,17,17
"2024-12-01",70,33,18,19
"2025-01-01",79,35,17,23
"2025-02-01",80,40,19,27
"2025-03-01",81,40,20,25
"2025-04-01",82,43,22,27
"2025-05-01",75,38,18,29
"2025-06-01",78,42,21,33
"2025-07-01",66,33,17,29
"2025-08-01",59,34,15,25
"2025-09-01",63,36,16,23
"2025-10-01",65,35,17,25
"2025-11-01",63,33,16,28
"2025-12-01",58,28,15,27
