"Time","エンジニア　未経験","プログラマー　未経験","IT　未経験"
"2013-01-01",8,0,9
"2013-02-01",8,0,10
"2013-03-01",6,9,7
"2013-04-01",6,7,9
"2013-05-01",7,7,5
"2013-06-01",6,8,10
"2013-07-01",10,5,6
"2013-08-01",5,4,7
"2013-09-01",5,7,7
"2013-10-01",7,7,7
"2013-11-01",5,7,7
"2013-12-01",6,6,7
"2014-01-01",5,8,7
"2014-02-01",6,9,9
"2014-03-01",10,7,11
"2014-04-01",10,9,7
"2014-05-01",10,6,9
"2014-06-01",8,5,9
"2014-07-01",7,6,9
"2014-08-01",9,6,9
"2014-09-01",10,6,13
"2014-10-01",9,6,8
"2014-11-01",8,6,8
"2014-12-01",7,4,8
"2015-01-01",7,7,10
"2015-02-01",11,8,12
"2015-03-01",12,8,14
"2015-04-01",14,9,11
"2015-05-01",10,8,10
"2015-06-01",13,12,12
"2015-07-01",12,11,9
"2015-08-01",10,11,12
"2015-09-01",13,9,12
"2015-10-01",12,8,11
"2015-11-01",10,8,10
"2015-12-01",9,5,10
"2016-01-01",16,11,18
"2016-02-01",19,15,15
"2016-03-01",22,13,19
"2016-04-01",25,10,21
"2016-05-01",18,11,19
"2016-06-01",20,13,21
"2016-07-01",18,12,16
"2016-08-01",13,12,21
"2016-09-01",22,13,17
"2016-10-01",23,9,21
"2016-11-01",21,13,18
"2016-12-01",21,13,17
"2017-01-01",23,13,23
"2017-02-01",21,14,19
"2017-03-01",28,13,23
"2017-04-01",27,16,22
"2017-05-01",23,16,24
"2017-06-01",24,15,25
"2017-07-01",22,20,21
"2017-08-01",23,18,22
"2017-09-01",25,20,23
"2017-10-01",31,17,25
"2017-11-01",31,18,29
"2017-12-01",28,17,23
"2018-01-01",31,21,28
"2018-02-01",34,19,28
"2018-03-01",34,27,33
"2018-04-01",34,20,27
"2018-05-01",39,24,32
"2018-06-01",36,24,33
"2018-07-01",34,25,34
"2018-08-01",36,24,35
"2018-09-01",36,19,34
"2018-10-01",41,21,33
"2018-11-01",44,20,30
"2018-12-01",37,18,27
"2019-01-01",46,21,33
"2019-02-01",59,19,34
"2019-03-01",56,22,40
"2019-04-01",53,25,35
"2019-05-01",57,28,36
"2019-06-01",55,21,39
"2019-07-01",53,18,32
"2019-08-01",50,21,28
"2019-09-01",60,24,39
"2019-10-01",55,24,35
"2019-11-01",58,23,35
"2019-12-01",56,22,29
"2020-01-01",63,29,39
"2020-02-01",68,27,40
"2020-03-01",67,24,40
"2020-04-01",56,19,35
"2020-05-01",60,23,40
"2020-06-01",73,28,47
"2020-07-01",74,22,43
"2020-08-01",76,22,42
"2020-09-01",77,24,45
"2020-10-01",80,25,46
"2020-11-01",74,23,43
"2020-12-01",71,20,48
"2021-01-01",75,21,51
"2021-02-01",80,21,51
"2021-03-01",79,24,57
"2021-04-01",75,26,51
"2021-05-01",73,21,53
"2021-06-01",72,21,55
"2021-07-01",73,20,48
"2021-08-01",62,19,45
"2021-09-01",62,21,47
"2021-10-01",62,19,46
"2021-11-01",64,16,43
"2021-12-01",57,15,40
"2022-01-01",89,23,70
"2022-02-01",99,21,74
"2022-03-01",100,24,74
"2022-04-01",91,22,62
"2022-05-01",87,21,63
"2022-06-01",99,25,68
"2022-07-01",83,21,59
"2022-08-01",90,20,61
"2022-09-01",84,19,64
"2022-10-01",76,18,57
"2022-11-01",87,21,58
"2022-12-01",66,17,52
"2023-01-01",83,21,63
"2023-02-01",95,18,69
"2023-03-01",93,20,78
"2023-04-01",95,18,72
"2023-05-01",86,17,63
"2023-06-01",79,16,62
"2023-07-01",86,19,65
"2023-08-01",80,19,64
"2023-09-01",82,19,64
"2023-10-01",78,17,60
"2023-11-01",73,15,56
"2023-12-01",71,13,58
"2024-01-01",79,13,66
"2024-02-01",79,16,67
"2024-03-01",78,12,69
"2024-04-01",83,18,60
"2024-05-01",73,14,60
"2024-06-01",73,15,53
"2024-07-01",67,10,53
"2024-08-01",63,10,52
"2024-09-01",66,12,53
"2024-10-01",67,13,50
"2024-11-01",65,13,52
"2024-12-01",66,8,54
"2025-01-01",61,13,56
"2025-02-01",72,12,54
"2025-03-01",60,9,55
"2025-04-01",67,11,53
"2025-05-01",55,10,46
"2025-06-01",60,8,47
"2025-07-01",52,7,43
"2025-08-01",56,7,46
"2025-09-01",48,5,44
"2025-10-01",52,4,46
"2025-11-01",47,5,45
"2025-12-01",41,4,44
