"Time","システムエンジニア","プログラマー","ITエンジニア","Webエンジニア"
"2013-01-01",44,63,10,5
"2013-02-01",42,60,10,4
"2013-03-01",41,56,12,5
"2013-04-01",52,64,13,4
"2013-05-01",45,59,13,4
"2013-06-01",41,61,10,4
"2013-07-01",39,54,11,3
"2013-08-01",38,52,10,3
"2013-09-01",38,58,10,3
"2013-10-01",38,54,11,4
"2013-11-01",41,59,11,4
"2013-12-01",40,51,10,3
"2014-01-01",39,59,10,4
"2014-02-01",43,57,14,6
"2014-03-01",45,59,14,5
"2014-04-01",50,61,14,4
"2014-05-01",47,57,13,4
"2014-06-01",46,56,15,5
"2014-07-01",47,54,11,5
"2014-08-01",39,55,11,4
"2014-09-01",40,56,13,4
"2014-10-01",46,55,13,4
"2014-11-01",38,59,14,3
"2014-12-01",37,53,13,4
"2015-01-01",41,63,16,6
"2015-02-01",52,62,17,6
"2015-03-01",47,63,14,6
"2015-04-01",49,63,15,6
"2015-05-01",49,64,13,6
"2015-06-01",50,64,15,5
"2015-07-01",46,63,13,5
"2015-08-01",37,57,14,5
"2015-09-01",41,54,13,5
"2015-10-01",43,55,16,6
"2015-11-01",40,54,15,5
"2015-12-01",47,58,12,5
"2016-01-01",49,73,21,11
"2016-02-01",53,76,20,12
"2016-03-01",58,77,19,11
"2016-04-01",57,71,22,11
"2016-05-01",60,82,21,11
"2016-06-01",60,81,21,13
"2016-07-01",50,71,18,12
"2016-08-01",45,63,18,11
"2016-09-01",50,71,17,13
"2016-10-01",53,77,21,11
"2016-11-01",57,73,22,13
"2016-12-01",52,67,17,10
"2017-01-01",55,74,24,11
"2017-02-01",58,76,22,10
"2017-03-01",63,77,24,12
"2017-04-01",61,79,24,12
"2017-05-01",53,78,25,11
"2017-06-01",58,79,26,10
"2017-07-01",47,76,22,10
"2017-08-01",45,69,21,10
"2017-09-01",51,76,22,10
"2017-10-01",51,74,24,12
"2017-11-01",48,76,24,13
"2017-12-01",48,74,24,14
"2018-01-01",57,81,26,13
"2018-02-01",55,86,28,13
"2018-03-01",58,90,28,13
"2018-04-01",58,84,29,14
"2018-05-01",55,79,29,13
"2018-06-01",54,83,27,14
"2018-07-01",51,77,26,13
"2018-08-01",50,80,25,15
"2018-09-01",48,80,25,15
"2018-10-01",51,75,25,14
"2018-11-01",48,71,27,16
"2018-12-01",45,64,24,15
"2019-01-01",46,78,26,15
"2019-02-01",54,78,28,17
"2019-03-01",64,81,28,18
"2019-04-01",55,84,27,17
"2019-05-01",59,84,29,18
"2019-06-01",60,83,30,20
"2019-07-01",52,74,26,17
"2019-08-01",48,75,23,16
"2019-09-01",52,77,28,19
"2019-10-01",49,72,27,17
"2019-11-01",51,76,27,18
"2019-12-01",48,74,25,15
"2020-01-01",55,87,28,19
"2020-02-01",48,83,31,19
"2020-03-01",52,82,32,21
"2020-04-01",48,72,28,18
"2020-05-01",52,82,30,19
"2020-06-01",62,88,34,21
"2020-07-01",58,83,32,22
"2020-08-01",54,86,31,21
"2020-09-01",57,85,32,19
"2020-10-01",56,85,30,19
"2020-11-01",57,82,30,20
"2020-12-01",46,75,29,17
"2021-01-01",58,93,34,20
"2021-02-01",64,94,38,22
"2021-03-01",66,90,37,20
"2021-04-01",67,85,38,19
"2021-05-01",64,85,35,19
"2021-06-01",66,100,36,21
"2021-07-01",55,83,34,17
"2021-08-01",49,75,27,14
"2021-09-01",54,79,35,16
"2021-10-01",57,79,29,14
"2021-11-01",57,74,35,16
"2021-12-01",49,71,29,14
"2022-01-01",71,98,50,23
"2022-02-01",72,98,50,21
"2022-03-01",76,81,49,25
"2022-04-01",73,78,49,24
"2022-05-01",67,82,48,26
"2022-06-01",74,85,48,25
"2022-07-01",61,73,41,21
"2022-08-01",60,82,45,20
"2022-09-01",63,80,44,20
"2022-10-01",62,78,45,19
"2022-11-01",62,81,48,21
"2022-12-01",55,75,41,21
"2023-01-01",64,82,45,22
"2023-02-01",69,98,55,21
"2023-03-01",70,78,54,21
"2023-04-01",67,79,59,23
"2023-05-01",63,75,52,19
"2023-06-01",64,74,52,21
"2023-07-01",59,70,57,21
"2023-08-01",57,67,56,22
"2023-09-01",62,70,59,22
"2023-10-01",61,70,58,22
"2023-11-01",62,72,55,19
"2023-12-01",53,68,53,19
"2024-01-01",62,72,60,21
"2024-02-01",67,82,67,23
"2024-03-01",65,65,62,21
"2024-04-01",69,64,66,23
"2024-05-01",64,67,64,21
"2024-06-01",65,67,62,21
"2024-07-01",62,60,53,18
"2024-08-01",50,51,48,16
"2024-09-01",60,55,55,18
"2024-10-01",62,60,55,20
"2024-11-01",57,62,57,18
"2024-12-01",54,58,52,19
"2025-01-01",60,66,56,20
"2025-02-01",63,65,57,16
"2025-03-01",63,52,55,16
"2025-04-01",64,54,57,16
"2025-05-01",58,51,52,15
"2025-06-01",60,55,50,14
"2025-07-01",51,51,46,13
"2025-08-01",45,44,43,11
"2025-09-01",48,45,46,12
"2025-10-01",50,48,45,12
"2025-11-01",49,47,44,11
"2025-12-01",45,41,45,11
